"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P32,P33,P31,P34,P9,P10,P13,P11,P7";"Pin_Header_Straight_1x03_Pitch2.54mm";9;"CONN_01X03";;;
2;"D1,D5,D6,D2";"LED-3MM";4;"LED";;;
3;"U4";"ESP32_Breakout";1;"ESP32_Breakout1";;;
4;"U3";"RGB_SMD_4pin_New";1;"RGB_4pin";;;
5;"P30,P29,P24,P23,P22,P21,P20,P19,P18,P17,P14,P15,P16";"Pin_Header_Straight_1x09_Pitch2.54mm";13;"CONN_01X09";;;
6;"P28,P27,P26,P25";"Pin_Header_Straight_1x13_Pitch2.54mm";4;"CONN_01X13";;;
7;"P8,P12,P1,P4,P3,P6,P5,P2";"Pin_Header_Straight_1x19_Pitch2.54mm";8;"CONN_01X19";;;
8;"C1";"C_0603_HandSoldering";1;"10uF";;;
9;"C2,C3";"C_0603_HandSoldering";2;"100nF";;;
10;"R1,R2,R4,R8";"R_0603_HandSoldering";4;"10K";;;
11;"R3";"R_0603_HandSoldering";1;"680r";;;
12;"R5,R6";"R_0603_HandSoldering";2;"47r";;;
13;"R7,R9,R10,R11,R20,R21,R22";"R_0603_HandSoldering";7;"0r";;;
14;"R12,R13";"R_0603_HandSoldering";2;"100r";;;
15;"R14";"R_0603_HandSoldering";1;"150r";;;
16;"U2";"Micro_SD";1;"SD_Crard";;;
17;"U5,U6,U7,U8";"Mounting";4;"MountingHole";;;
18;"RH1";"DFN-8_SHT-3x-DIS";1;"SHT31-DIS";;;
19;"P14,P14";"Logo_8";2;"CONN_01X01";;;
20;"Q1";"SOT_23";1;"Q_NPN_BEC";;;
